Name,Unique_Id
FT NMR,NMR
MALDI TOF SYNAPT XS HD MASS SPECTROMETER,LCMS
X ray Photon Spectroscopy,XPS
X Ray Diffraction,XRD
Field Emission Scanning Electron Microscopy,FE-SEM
SCANNING ELECTRON MICROSCOPY,SEM
INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,ICPMS
THERMO GRAVIMETRIC ANALYSIS,TGA
DSC,DSC
BET ANALYZER,BET
Fluorescence,FLURO
CD Spectrometer,CD
UV VIS,UV-VIS
ELLIPSOMETER,ELLIPSOMETER
POLARIMETER,POLARIMETER
LIQUID NITROGEN,LN2
Critical point dryer,Critical point dryer
ULTRA MICROTOME,ULTRA MICROTOME
ZETA ANALYZER,Zeta
