Name,id,symbol
Bitcoin,bitcoin,btc
Ethereum,ethereum,eth
Tether,tether,usdt
XRP,ripple,xrp
BNB,binancecoin,bnb
USDC,usd-coin,usdc
Solana,solana,sol
TRON,tron,trx
Figure Heloc,figure-heloc,figr_heloc
Dogecoin,dogecoin,doge
WhiteBIT Coin,whitebit,wbt
Bitcoin Cash,bitcoin-cash,bch
USDS,usds,usds
Cardano,cardano,ada
LEO Token,leo-token,leo
Hyperliquid,hyperliquid,hype
Canton,canton-network,cc
Ethena USDe,ethena-usde,usde
Monero,monero,xmr
Chainlink,chainlink,link
Stellar,stellar,xlm
USD1,usd1-wlfi,usd1
Rain,rain,rain
Dai,dai,dai
Hedera,hedera-hashgraph,hbar
PayPal USD,paypal-usd,pyusd
Litecoin,litecoin,ltc
Zcash,zcash,zec
Avalanche,avalanche-2,avax
Shiba Inu,shiba-inu,shib
Sui,sui,sui
Toncoin,the-open-network,ton
World Liberty Financial,world-liberty-financial,wlfi
Cronos,crypto-com-chain,cro
Tether Gold,tether-gold,xaut
MemeCore,memecore,m
PAX Gold,pax-gold,paxg
Uniswap,uniswap,uni
Polkadot,polkadot,dot
BlackRock USD Institutional Digital Liquidity Fund,blackrock-usd-institutional-digital-liquidity-fund,buidl
Mantle,mantle,mnt
Aave,aave,aave
Falcon USD,falcon-finance,usdf
Aster,aster-2,aster
Pepe,pepe,pepe
Bittensor,bittensor,tao
Global Dollar,global-dollar,usdg
Circle USYC,hashnote-usyc,usyc
OKB,okb,okb
Ripple USD,ripple-usd,rlusd
Bitget Token,bitget-token,bgb
Sky,sky,sky
Pi Network,pi-network,pi
HTX DAO,htx-dao,htx
BFUSD,bfusd,bfusd
Ethereum Classic,ethereum-classic,etc
NEAR Protocol,near,near
Ondo,ondo-finance,ondo
POL (ex-MATIC),polygon-ecosystem-token,pol
Internet Computer,internet-computer,icp
Superstate Short Duration U.S. Government Securities Fund (USTB),superstate-short-duration-us-government-securities-fund-ustb,ustb
Gate,gatechain-token,gt
KuCoin,kucoin-shares,kcs
Worldcoin,worldcoin-wld,wld
Pump.fun,pump-fun,pump
Cosmos Hub,cosmos,atom
Provenance Blockchain,hash-2,hash
Midnight,midnight-3,night
Quant,quant-network,qnt
USDtb,usdtb,usdtb
NEXO,nexo,nexo
Ethena,ethena,ena
pippin,pippin,pippin
Spiko EU T-Bills Money Market Fund,eutbl,eutbl
Flare,flare-networks,flr
Official Trump,official-trump,trump
Kaspa,kaspa,kas
Algorand,algorand,algo
OUSG,ousg,ousg
USDD,usdd,usdd
Janus Henderson Anemoy AAA CLO Fund,janus-henderson-anemoy-aaa-clo-fund,jaaa
Render,render-token,render
Ondo US Dollar Yield,ondo-us-dollar-yield,usdy
Filecoin,filecoin,fil
XDC Network,xdce-crowd-sale,xdc
Aptos,aptos,apt
Morpho,morpho,morpho
VeChain,vechain,vet
Beldex,beldex,bdx
Janus Henderson Anemoy Treasury Fund,janus-henderson-anemoy-treasury-fund,jtrsy
Usual USD,usual-usd,usd0
Arbitrum,arbitrum,arb
GHO,gho,gho
​​Stable,stable-2,stable
Bonk,bonk,bonk
A7A5,a7a5,a7a5
TrueUSD,true-usd,tusd
Decred,decred,dcr
Jupiter,jupiter-exchange-solana,jup
Fasttoken,fasttoken,ftn
