Name,id,symbol
Bitcoin,bitcoin,btc
Ethereum,ethereum,eth
Tether,tether,usdt
XRP,ripple,xrp
BNB,binancecoin,bnb
USDC,usd-coin,usdc
Solana,solana,sol
TRON,tron,trx
Figure Heloc,figure-heloc,figr_heloc
Dogecoin,dogecoin,doge
WhiteBIT Coin,whitebit,wbt
Cardano,cardano,ada
USDS,usds,usds
Bitcoin Cash,bitcoin-cash,bch
LEO Token,leo-token,leo
Hyperliquid,hyperliquid,hype
Monero,monero,xmr
Canton,canton-network,cc
Ethena USDe,ethena-usde,usde
Chainlink,chainlink,link
Stellar,stellar,xlm
USD1,usd1-wlfi,usd1
Rain,rain,rain
Hedera,hedera-hashgraph,hbar
Dai,dai,dai
PayPal USD,paypal-usd,pyusd
Litecoin,litecoin,ltc
Zcash,zcash,zec
Avalanche,avalanche-2,avax
Shiba Inu,shiba-inu,shib
Sui,sui,sui
Toncoin,the-open-network,ton
World Liberty Financial,world-liberty-financial,wlfi
Cronos,crypto-com-chain,cro
Tether Gold,tether-gold,xaut
MemeCore,memecore,m
PAX Gold,pax-gold,paxg
Uniswap,uniswap,uni
Polkadot,polkadot,dot
Mantle,mantle,mnt
BlackRock USD Institutional Digital Liquidity Fund,blackrock-usd-institutional-digital-liquidity-fund,buidl
Aave,aave,aave
Falcon USD,falcon-finance,usdf
Aster,aster-2,aster
Bittensor,bittensor,tao
Pepe,pepe,pepe
Global Dollar,global-dollar,usdg
Circle USYC,hashnote-usyc,usyc
OKB,okb,okb
Ripple USD,ripple-usd,rlusd
Bitget Token,bitget-token,bgb
Pi Network,pi-network,pi
Sky,sky,sky
HTX DAO,htx-dao,htx
Ethereum Classic,ethereum-classic,etc
BFUSD,bfusd,bfusd
NEAR Protocol,near,near
Ondo,ondo-finance,ondo
POL (ex-MATIC),polygon-ecosystem-token,pol
Internet Computer,internet-computer,icp
Superstate Short Duration U.S. Government Securities Fund (USTB),superstate-short-duration-us-government-securities-fund-ustb,ustb
Worldcoin,worldcoin-wld,wld
Gate,gatechain-token,gt
KuCoin,kucoin-shares,kcs
Pump.fun,pump-fun,pump
Cosmos Hub,cosmos,atom
Midnight,midnight-3,night
Provenance Blockchain,hash-2,hash
Quant,quant-network,qnt
NEXO,nexo,nexo
USDtb,usdtb,usdtb
Ethena,ethena,ena
Official Trump,official-trump,trump
Spiko EU T-Bills Money Market Fund,eutbl,eutbl
Flare,flare-networks,flr
Kaspa,kaspa,kas
Algorand,algorand,algo
pippin,pippin,pippin
USDD,usdd,usdd
OUSG,ousg,ousg
Render,render-token,render
Janus Henderson Anemoy AAA CLO Fund,janus-henderson-anemoy-aaa-clo-fund,jaaa
Ondo US Dollar Yield,ondo-us-dollar-yield,usdy
Filecoin,filecoin,fil
Aptos,aptos,apt
XDC Network,xdce-crowd-sale,xdc
Morpho,morpho,morpho
VeChain,vechain,vet
Beldex,beldex,bdx
Janus Henderson Anemoy Treasury Fund,janus-henderson-anemoy-treasury-fund,jtrsy
Usual USD,usual-usd,usd0
Arbitrum,arbitrum,arb
GHO,gho,gho
Bonk,bonk,bonk
​​Stable,stable-2,stable
A7A5,a7a5,a7a5
TrueUSD,true-usd,tusd
Decred,decred,dcr
Jupiter,jupiter-exchange-solana,jup
Kite,kite-2,kite
