Name,id,symbol
Bitcoin,bitcoin,btc
Ethereum,ethereum,eth
Tether,tether,usdt
XRP,ripple,xrp
BNB,binancecoin,bnb
USDC,usd-coin,usdc
Solana,solana,sol
TRON,tron,trx
Dogecoin,dogecoin,doge
Figure Heloc,figure-heloc,figr_heloc
Bitcoin Cash,bitcoin-cash,bch
WhiteBIT Coin,whitebit,wbt
Cardano,cardano,ada
USDS,usds,usds
LEO Token,leo-token,leo
Hyperliquid,hyperliquid,hype
Ethena USDe,ethena-usde,usde
Chainlink,chainlink,link
Canton,canton-network,cc
Monero,monero,xmr
Stellar,stellar,xlm
USD1,usd1-wlfi,usd1
Zcash,zcash,zec
Hedera,hedera-hashgraph,hbar
Litecoin,litecoin,ltc
Dai,dai,dai
PayPal USD,paypal-usd,pyusd
Avalanche,avalanche-2,avax
Shiba Inu,shiba-inu,shib
Sui,sui,sui
Toncoin,the-open-network,ton
Rain,rain,rain
Cronos,crypto-com-chain,cro
World Liberty Financial,world-liberty-financial,wlfi
Tether Gold,tether-gold,xaut
PAX Gold,pax-gold,paxg
Polkadot,polkadot,dot
Uniswap,uniswap,uni
MemeCore,memecore,m
Mantle,mantle,mnt
Bittensor,bittensor,tao
Aave,aave,aave
Pepe,pepe,pepe
BlackRock USD Institutional Digital Liquidity Fund,blackrock-usd-institutional-digital-liquidity-fund,buidl
Falcon USD,falcon-finance,usdf
Aster,aster-2,aster
OKB,okb,okb
Bitget Token,bitget-token,bgb
Circle USYC,hashnote-usyc,usyc
Global Dollar,global-dollar,usdg
HTX DAO,htx-dao,htx
Pi Network,pi-network,pi
Sky,sky,sky
Ripple USD,ripple-usd,rlusd
Ethereum Classic,ethereum-classic,etc
NEAR Protocol,near,near
Ondo,ondo-finance,ondo
BFUSD,bfusd,bfusd
Internet Computer,internet-computer,icp
Pump.fun,pump-fun,pump
Worldcoin,worldcoin-wld,wld
Gate,gatechain-token,gt
POL (ex-MATIC),polygon-ecosystem-token,pol
KuCoin,kucoin-shares,kcs
Cosmos Hub,cosmos,atom
Quant,quant-network,qnt
Superstate Short Duration U.S. Government Securities Fund (USTB),superstate-short-duration-us-government-securities-fund-ustb,ustb
Ethena,ethena,ena
Provenance Blockchain,hash-2,hash
Midnight,midnight-3,night
Kaspa,kaspa,kas
Algorand,algorand,algo
NEXO,nexo,nexo
USDtb,usdtb,usdtb
Flare,flare-networks,flr
Official Trump,official-trump,trump
Morpho,morpho,morpho
Spiko EU T-Bills Money Market Fund,eutbl,eutbl
Render,render-token,render
XDC Network,xdce-crowd-sale,xdc
Filecoin,filecoin,fil
Janus Henderson Anemoy AAA CLO Fund,janus-henderson-anemoy-aaa-clo-fund,jaaa
Aptos,aptos,apt
USDD,usdd,usdd
VeChain,vechain,vet
OUSG,ousg,ousg
pippin,pippin,pippin
Ondo US Dollar Yield,ondo-us-dollar-yield,usdy
Arbitrum,arbitrum,arb
Beldex,beldex,bdx
Bonk,bonk,bonk
Usual USD,usual-usd,usd0
Janus Henderson Anemoy Treasury Fund,janus-henderson-anemoy-treasury-fund,jtrsy
USDai,usdai,usdai
GHO,gho,gho
Jupiter,jupiter-exchange-solana,jup
PancakeSwap,pancakeswap-token,cake
Sei,sei-network,sei
​​Stable,stable-2,stable
TrueUSD,true-usd,tusd
