Name,year,rating,time,viewer
The Shawshank Redemption,1994,9.3,1994, (3.2M)
The Godfather,1972,9.2,1972, (2.2M)
The Dark Knight,2008,9.1,2008, (3.1M)
The Godfather: Part II,1974,9.0,1974, (1.5M)
12 Angry Men,1957,9.0,1957, (974K)
The Lord of the Rings: The Return of the King,2003,9.0,2003, (2.1M)
Schindler's List,1993,9.0,1993, (1.6M)
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2001, (2.2M)
Pulp Fiction,1994,8.8,1994, (2.4M)
"Il Buono, Il Brutto, Il Cattivo",1966,8.8,1966, (885K)
The Lord of the Rings: The Two Towers,2002,8.8,2002, (1.9M)
Forrest Gump,1994,8.8,1994, (2.5M)
Fight Club,1999,8.8,1999, (2.6M)
Inception,2010,8.8,2010, (2.8M)
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1980, (1.5M)
The Matrix,1999,8.7,1999, (2.2M)
GoodFellas,1990,8.7,1990, (1.4M)
Interstellar,2014,8.7,2014, (2.5M)
One Flew Over the Cuckoo's Nest,1975,8.6,1975, (1.1M)
Se7en,1995,8.6,1995, (2M)
It's a Wonderful Life,1946,8.6,1946, (551K)
The Silence of the Lambs,1991,8.6,1991, (1.7M)
Shichinin No Samurai,1954,8.6,1954, (399K)
Saving Private Ryan,1998,8.6,1998, (1.6M)
The Green Mile,1999,8.6,1999, (1.5M)
